,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
10222,70740352380490,LAFINUR,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,BALCARCE Nº 175,
10223,70740352380527,ESTACION,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,AVIADOR ORIGONE  457,
10240,70740352380546,FARMACITY 166,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,CORDOBA Nº 37,
10259,70740352380518,MARIA DE LA PAZ,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,AV. FRED MARIO ERNS Nº 635 (BARRIO LA RIBERA),
10260,70740352380511,EUROPA,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,AVENIDA MITRE Nº 1548,
10261,70740352380519,ALTOS DEL OESTE,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,Güemes 1082,
10262,70740352380534,SAGRADA FAMILIA CENTRAL,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,Avenida MITRE  654,
10275,70740352380536,ACCETTA,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,AVENIDA 25 DE MAYO Nº 933,
10301,70740072380505,LOURDES,74,SAN LUIS,7,AYACUCHO,74007040000,LUJAN,5709,Pringles,
10302,70740072380507,LOURDES,74,SAN LUIS,7,AYACUCHO,74007010000,CANDELARIA,5713,San Martin y Belgrano,
10303,70740352380539,MILAGROS,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,3 de Febrero N°424,
10308,70740352380521,SAN MARCOS,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,MARCONI N°139,
10311,70740352380544,LA TERMINAL,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,Chacabuco 28,
10337,70740352380528,DIAS,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,LISANDRO DE LA TORRE Nº 351,
10362,70740562380466,SANTA RITA,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Julio A. Roca Nº 660,
10364,70740072380506,LOURDES II,74,SAN LUIS,7,AYACUCHO,74007040000,LUJAN,5709,Centenario y Pringles S/N,
10392,70740562380469,SARMIENTO,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Avenida Sarmiento Nº 812,
10411,70740562380459,MARIA DEL ROSARIO,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Avenida Sucre Nº 2110,
10432,70740352380488,MONTOYA,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,PEDERNERA Y SANTIAGO DEL ESTEREO,
10433,70740562380500,BRUGNARO ROMERO,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Estacion de Interconexion Regional de Omnibus -local 14 y 16,
10441,70740352380487,SAN CAYETANO,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,Santiago Betbeder Y SAN CAYETANO,
10466,70740562380501,FALVO,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Bº El Hornero manzana 7 casa 1,
10467,70740352380530,JARDIN DEL SUR,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,GUADAGNINI Nº 1922 MZNA 6062 CASA 12 Bº 150 VIV.,
10468,70740352380531,LARIO,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,MORENO  747,
10489,70740352380575,LUJAN II,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,Bº LA RIBERA MZNA 7147 CASA 18,
10505,70740352380579,26 DE SEPTIEMBRE,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,Balcarce Nº 468,
10522,70740352380550,LOURDES,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,ARDILES Nº 22,
10556,70740352380558,FARMACITY 97,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,PEDERNERA Nº 424,
10562,70740352380571,BALCARCE,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,BALCARCE 700,
10581,70740352380566,JUAN PABLO II,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,PEDERNERA Nº 1183,
10582,70740282380568,DEL PUEBLO,74,SAN LUIS,28,CHACABUCO,74028030000,NASCHEL,5759,SAN MARTIN  616,
10588,70740352380581,MUNDET,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,BUENOS AIRES Nº 770,
10600,70740352380576,SAGRADA FAMILIA,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,PEDERNERA Nº 350,
10617,70740422380582,LAZARO,74,SAN LUIS,42,GOBERNADOR DUPUY,74042140000,UNION,6216,AVENIDA ANTONIO DASSA Nº 550,
10622,70740352380554,FARMACIA SOL,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,SANTIAGO BETBEDER Nº 1151,
10631,70740422380588,SAN CAYETANO,74,SAN LUIS,42,GOBERNADOR DUPUY,74042050000,BUENA ESPERANZA,6277,INDEPENDENCIA Nº 1620,
10667,70740352380570,MIRTA MARIA,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,BALCARCE Nº 503,
10670,70740352380572,SAN ANTONIO,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,BUENOS AIRES  19,
10708,70740492380567,QUINTANA BIENESTAR,74,SAN LUIS,49,JUNÍN,74049070000,SANTA ROSA DEL CONLARA,5777,HIPOLITO IRIGOYEN  N° 599,
10777,70740352380607,SAN LUCAS,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,PEDERNERA Nº 990,
10778,70740352380617,DELAGUILA 2,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,AVENIDA MITRE Nº 601,
10802,70740352380591,MONSERRAT,74,SAN LUIS,35,GENERAL PEDERNERA,74035030000,JUSTO DARACT,5738,CORDOBA  507,
10864,70740352380590,DELAGUILA 1,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,PEDERNERA Nº 301,
10870,70740352380609,CUYO,74,SAN LUIS,35,GENERAL PEDERNERA,74035030000,JUSTO DARACT,5738,CORDOBA 507,
10871,70740422380613,EL SOL,74,SAN LUIS,42,GOBERNADOR DUPUY,74042130000,NUEVA GALIA,6216,CAMPAÑA DEL DESIERTO Y RUTA PROVINCIAL 55,
10872,70740422380614,MARIA AUXILIADORA,74,SAN LUIS,42,GOBERNADOR DUPUY,74042140000,UNION,6216,JUAN PASCUAL PRINGLES 325,
