,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
11415,70820632387004,LABATH,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,Santiago del Estero 3142,
11416,70820632387005,LEIVA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,LA RIOJA 2511,
11417,70820632387006,LENCINAS,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,BALCARCE 2384,
11418,70820632387007,LILIANA MARTINEZ,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,BELGRANO 6503,
11419,70820632387008,LONG,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,ARISTOBULO DEL VALLE 4026,
11420,70820632387009,LOPEZ,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,AV. LOPEZ Y PLANES 4267,
11428,70820702387420,GRAZIOLI,82,SANTA FE,70,LAS COLONIAS,82070270000,SAN JERONIMO NORTE,3011,MENDOZA 1145,
11429,70820702387421,JULLIER,82,SANTA FE,70,LAS COLONIAS,82070270000,SAN JERONIMO NORTE,3011,SAN MARTIN 476,
11430,70820702387422,KESTLER,82,SANTA FE,70,LAS COLONIAS,82070270000,SAN JERONIMO NORTE,3011,1 DE MAYO 302,
11431,70821262387423,ACTIS ALESINA,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,URQUIZA 1473,
11432,70821262387424,ANGELINETTA,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,ALBERDI 1121,
11433,70821262387425,BRACCO,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,25 DE MAYO 1632,
11434,70821262387426,CALAMARI,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,AV. ALBERDI 614,
11435,70821262387427,DEGRATTI,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,LISANDRO DE LA TORRE 1318,
11436,70821262387428,DENTEZANO,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,AV. JORGE ORTIZ 2097,
11437,70821262387429,FURLAN,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,BV.PTE.PERON 1258,
11438,70821262387430,MANDRILE,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,MORENO 1129,
11439,70821262387431,MECCHIA,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,LISANDRO DE LA TORRE 795,
11440,70821262387432,PISSINIS,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,Boulevard Presidente Perón 619,
11441,70821262387433,POGNANTE,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,SAN MARTIN 969,
11442,70821262387434,SANTO,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,CORRIENTES 1744,
11443,70821262387435,SARA,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,CATAMARCA 1606,
