id,name,id_location,id_department,postal_code,adress
70820842387691,COTUGNO,82084270000,84,2000,BUENOS AIRES 3569
70820842387692,CATIVIELA,82084270000,84,2000,AVELLANEDA BV 2655
70820842387693,CAPPONE,82084270000,84,2000,OROO NICASIO BV 918
70820842387694,CARLOS LAURINO,82084270000,84,2000,OROO NICASIO BV 6000
70820842387695,CRISTIAN HERNANDEZ,82084270000,84,2000,OROO NICASIO BV 3436
70820842387696,CRUZ DEL SUR,82084270000,84,2000,OROO NICASIO BV 2875
70820842387697,CARRA,82084270000,84,2000,RONDEAU BV 1029
70820842387698,CORIASCO,82084270000,84,2000,CAFFERATA 1242
70820842387699,CORDOBA,82084270000,84,2000,Córdoba 2394
70820842387700,CENTENARIO,82084270000,84,2000,CORRIENTES AV 501
70820842387701,CORRIENTES,82084270000,84,2000,CORRIENTES AV 785
70820842387702,CENTINEO,82084270000,84,2000,JUNIN 650
70820842387703,CHIABRANDO,82084270000,84,2000,ENTRE RIOS 1121
70820842387704,CUBELLS,82084270000,84,2000,DUARTE DE PERON EVA AV 8166
70820842387705,CULLA,82084270000,84,2000,DUARTE DE PERON EVA AV 5401
70820842387706,CANTONI,82084270000,84,2000,IGR LAPORTE 3732
70820842387707,CECCONI,82084270000,84,2000,JUSTO JUAN BAUTISTA 7235
70820842387708,CRUZ DEL OESTE,82084270000,84,2000,PASO JUAN JOSE 6674
70820842387778,FALCONE,82084270000,84,2000,SE SAN MARTIN JOSE GRL AV 658
70820842387779,FEIOCK,82084270000,84,2000,SAN NICOLAS 3798
70820842387780,FARINA,82084270000,84,2000,SANTA FE 3304
70820842387781,FERRAN,82084270000,84,2000,SARMIENTO DOMINGO FAUSTINO PRES 3098
70820842387782,FERRETO,82084270000,84,2000,SARMIENTO DOMINGO FAUSTINO PRES 4301
70820842387783,FENOGLIO,82084270000,84,2000,ZEBALLOS ESTANISLAO 1901
70820842387784,GIMENEZ,82084270000,84,2000,24 DE SETIEMBRE 1362
70820842387785,GONZALEZ C.,82084270000,84,2000,27 DE FEBRERO 1499
70820842387786,GRANDOLI,82084270000,84,2000,GRANDOLI ABANDERADO 4043
70820842387787,GOMEZ,82084270000,84,2000,ALBERDI 243
70820842387788,GARCIA,82084270000,84,2000,FRANCIA AV 2788
70820842387789,GENOVA,82084270000,84,2000,GENOVA 1199
70820842387790,GUARINO,82084270000,84,2000,AYACUCHO 6147
70820842387791,GIUDICI,82084270000,84,2000,AYALA GAUNA 7887
70820842387792,GOMEZ VALLE,82084270000,84,2000,BAIGORRIA JUAN BAUTISTA 2350
70820842387793,GARIN,82084270000,84,2000,BROWN GUILLERMO 1774
70820842387794,GERVATTI,82084270000,84,2000,AVELLANEDA BIS BV 967
70820842387795,GALIGANI,82084270000,84,2000,OROO NICASIO BV 3714
70820842387796,GALIZIA,82084270000,84,2000,SEGUI JUAN FRANCISCO BV 1701
